,hora_llegada,reproceso,termina_servicio,fila
0,22.0,0.0,38.5573648298018,0.0
1,23.0,0.0,40.01481181457729,1.0
2,29.0,0.0,45.799483457504934,2.0
3,34.0,0.0,50.44165205100536,3.0
4,36.0,0.0,55.22054056225316,4.0
5,39.0,0.0,56.36347803779667,4.0
6,45.0,0.0,60.42156715905448,4.0
7,48.0,0.0,65.45594544298515,4.0
8,51.0,0.0,68.55041035997078,4.0
9,56.0,0.0,75.45384849020003,4.0
10,59.0,0.0,76.87762103297939,4.0
11,63.0,0.0,79.38044633541097,4.0
12,65.0,0.0,82.31275947511483,5.0
13,71.0,0.0,88.39777963065907,4.0
14,74.0,0.0,90.79677320683001,5.0
15,77.0,0.0,93.54334086343503,4.0
16,80.0,0.0,97.0127954882443,4.0
17,83.0,0.0,101.63159840184889,4.0
18,88.0,0.0,104.42046545017462,5.0
19,91.0,0.0,108.24941188123904,4.0
20,93.0,0.0,108.69757124070883,5.0
21,99.0,0.0,116.76039407997541,4.0
22,103.0,0.0,121.27033666074792,4.0
23,107.0,0.0,126.14319702395751,4.0
24,112.0,0.0,130.41260135554856,3.0
25,115.0,0.0,132.02870677835585,4.0
26,120.0,0.0,138.29135407233935,4.0
27,121.0,0.0,139.26965874666377,5.0
28,125.0,0.0,142.60617805315084,5.0
29,131.0,0.0,146.22105132230996,4.0
30,132.0,0.0,150.9126086480465,5.0
31,135.0,0.0,150.72260512135543,5.0
32,140.0,0.0,156.26884262345462,4.0
33,145.0,0.0,162.06226349195177,4.0
34,149.0,0.0,167.34459296311746,4.0
35,154.0,0.0,170.63015966428992,3.0
36,159.0,0.0,176.4021944380005,3.0
37,161.0,0.0,177.91908716386814,4.0
38,167.0,0.0,184.56412265860916,4.0
39,170.0,0.0,187.1703163081301,4.0
40,174.0,0.0,193.40599644055158,4.0
41,178.0,0.0,196.65739524432468,3.0
42,181.0,0.0,198.45277857732722,4.0
43,185.0,0.0,204.05881562019306,4.0
44,190.0,0.0,207.96648209277623,4.0
45,193.0,0.0,211.3476728331767,5.0
46,199.0,0.0,217.46352446081028,3.0
47,201.0,0.0,216.45203130989893,4.0
48,206.0,0.0,224.50421805146104,4.0
49,211.0,0.0,229.64685319087005,4.0
