,hora_llegada,reproceso,termina_servicio,fila
0,21.0,0.0,37.26499096810288,0.0
1,25.0,0.0,42.49492090332904,1.0
2,29.0,0.0,46.95621253193817,2.0
3,35.0,0.0,52.961328939402456,3.0
4,38.0,0.0,54.32557118181876,3.0
5,42.0,0.0,58.07175702977299,4.0
6,47.0,0.0,63.68164044021687,3.0
7,50.0,0.0,66.34612799361301,4.0
8,55.0,0.0,73.6581563097231,3.0
9,59.0,0.0,76.65456934605344,3.0
10,62.0,0.0,80.7453222542373,4.0
11,67.0,0.0,84.72204716083981,3.0
12,69.0,0.0,86.16011384418002,4.0
13,75.0,0.0,92.62260060056232,4.0
14,79.0,0.0,95.10725637365341,4.0
15,82.0,0.0,100.06573826917712,4.0
16,86.0,0.0,104.04453191809284,4.0
17,90.0,0.0,108.23782929703644,4.0
18,95.0,0.0,111.4884723146118,4.0
19,99.0,0.0,116.2497397919981,4.0
20,102.0,0.0,120.6519163978314,4.0
21,109.0,0.0,128.54546959838157,3.0
22,111.0,0.0,130.19147682603128,4.0
23,116.0,0.0,134.98128102638037,4.0
24,121.0,0.0,137.78625893101153,3.0
25,125.0,0.0,142.6664312396786,4.0
26,126.0,0.0,142.4738316021054,5.0
27,131.0,0.0,148.29800443959618,4.0
28,135.0,0.0,151.40084209824948,4.0
29,140.0,0.0,158.93867893209693,4.0
30,144.0,0.0,161.71797826543403,3.0
31,149.0,0.0,165.80696565375808,3.0
32,153.0,0.0,169.47821786216707,3.0
33,157.0,0.0,176.87899581043405,4.0
34,161.0,0.0,179.85956511350344,4.0
35,165.0,0.0,182.6140431417038,4.0
36,168.0,0.0,184.46054956547908,4.0
37,171.0,0.0,187.6452105584837,4.0
38,177.0,0.0,195.861733050508,4.0
39,181.0,0.0,198.58258025503142,4.0
40,187.0,0.0,203.21778297818338,3.0
41,189.0,0.0,205.2567827776399,3.0
42,193.0,0.0,210.82327827820956,4.0
43,197.0,0.0,213.48711491859996,4.0
44,199.0,0.0,216.59211414041334,4.0
45,206.0,0.0,222.6974273933503,3.0
46,209.0,0.0,226.5706594265936,4.0
47,213.0,0.0,230.26323413168257,4.0
48,218.0,0.0,235.81041073595958,3.0
49,220.0,0.0,239.38906738225538,4.0
