,hora_llegada,reproceso,termina_servicio,fila
0,19.0,0.0,36.66066372256107,0.0
1,25.0,0.0,43.20767668110704,1.0
2,27.0,0.0,42.589056396528704,2.0
3,31.0,0.0,48.94774989300359,3.0
4,37.0,0.0,54.30228144964752,3.0
5,38.0,0.0,54.06670665892656,4.0
6,45.0,0.0,62.83772124921434,3.0
7,49.0,0.0,66.97771297394645,3.0
8,55.0,0.0,72.02233971143843,2.0
9,57.0,0.0,73.67899770832106,3.0
10,61.0,0.0,80.29092027041266,4.0
11,66.0,0.0,81.24931825012817,4.0
12,68.0,0.0,83.9372207097079,4.0
13,73.0,0.0,91.07006027141507,4.0
14,77.0,0.0,94.36136058956714,4.0
15,78.0,0.0,95.16030619320794,5.0
16,87.0,0.0,104.41769214450845,3.0
17,89.0,0.0,106.45889664384944,4.0
18,93.0,0.0,110.42160310934098,4.0
19,99.0,0.0,116.242036281879,3.0
20,103.0,0.0,120.23646416716997,4.0
21,106.0,0.0,123.18128296035593,4.0
22,111.0,0.0,126.92243044181716,3.0
23,115.0,0.0,133.9735223518717,4.0
24,119.0,0.0,137.74317339201923,4.0
25,123.0,0.0,141.4846133322407,4.0
26,127.0,0.0,144.57305753886956,3.0
27,131.0,0.0,149.1712540219942,4.0
28,137.0,0.0,154.04773144237987,4.0
29,139.0,0.0,157.2228536496378,4.0
30,147.0,0.0,164.8978921270363,3.0
31,150.0,0.0,165.91318818898128,3.0
32,156.0,0.0,173.5955750707302,3.0
33,160.0,0.0,176.45646940613605,3.0
34,162.0,0.0,181.3380069469127,4.0
35,167.0,0.0,185.58247270218547,3.0
36,169.0,0.0,186.49129289767222,4.0
37,173.0,0.0,189.36796570905454,5.0
38,179.0,0.0,195.8080161334572,4.0
39,183.0,0.0,201.5268643184302,4.0
40,190.0,0.0,208.67476398148804,2.0
41,192.0,0.0,209.16964779775162,3.0
42,194.0,0.0,210.68187769559137,4.0
43,201.0,0.0,217.04735858109632,4.0
44,204.0,0.0,221.83436901099162,4.0
45,210.0,0.0,227.53658445555257,3.0
46,212.0,0.0,227.6481320384126,3.0
47,217.0,0.0,233.9654093871535,4.0
48,223.0,0.0,242.47137877423802,3.0
49,227.0,0.0,242.24276230097496,4.0
