,hora_llegada,reproceso,termina_servicio,fila
0,18.0,0.0,34.400212106695875,0.0
1,26.0,0.0,42.190652267315464,1.0
2,28.0,0.0,46.31507991771085,2.0
3,31.0,0.0,48.15787099408537,3.0
4,37.0,0.0,54.37775565365274,3.0
5,39.0,0.0,55.81561692029679,4.0
6,42.0,0.0,57.45594944733904,5.0
7,49.0,0.0,65.8729401921423,3.0
8,49.0,0.0,67.02504847576671,4.0
9,55.0,0.0,70.81912730369885,4.0
10,59.0,0.0,74.86231390798548,3.0
11,61.0,0.0,79.18624487599833,4.0
12,65.0,0.0,83.73141686527049,5.0
13,69.0,0.0,86.3290187250449,4.0
14,75.0,0.0,91.70872309778342,3.0
15,78.0,0.0,95.4015568879607,4.0
16,83.0,0.0,99.88033151836049,4.0
17,88.0,0.0,104.24571890929028,3.0
18,91.0,0.0,108.2818040097394,4.0
19,94.0,0.0,110.86493568829056,4.0
20,99.0,0.0,116.35171811117783,4.0
21,102.0,0.0,119.6379707275426,4.0
22,107.0,0.0,122.22993811721905,4.0
23,110.0,0.0,127.37999799802822,4.0
24,118.0,0.0,133.59774167305687,3.0
25,121.0,0.0,139.6993832333435,3.0
26,125.0,0.0,141.6544467386475,3.0
27,128.0,0.0,144.1143888450992,3.0
28,132.0,0.0,149.00278199724897,4.0
29,138.0,0.0,157.5713096603968,4.0
30,141.0,0.0,158.24454096337954,4.0
31,142.0,0.0,158.95116519865718,4.0
32,147.0,0.0,163.98649528324975,4.0
33,151.0,0.0,167.54880759146602,4.0
34,153.0,0.0,171.16866938973573,5.0
35,161.0,0.0,178.25630137476807,3.0
36,162.0,0.0,179.7887163849119,4.0
37,168.0,0.0,184.1728500066805,3.0
38,171.0,0.0,187.59090230180135,4.0
39,178.0,0.0,194.9344103359784,4.0
40,181.0,0.0,197.54141270542289,3.0
41,185.0,0.0,203.80474170049547,3.0
42,191.0,0.0,210.3496663916658,3.0
43,194.0,0.0,211.8662529825694,4.0
44,200.0,0.0,217.2824237241634,3.0
45,205.0,0.0,221.82391122101478,3.0
46,207.0,0.0,224.66678451896593,4.0
47,215.0,0.0,231.44840312203394,3.0
48,218.0,0.0,233.4521192485804,3.0
49,222.0,0.0,238.6695873823031,3.0
