,hora_llegada,reproceso,termina_servicio,fila
0,41.0,0.0,42.68017485455792,0.0
1,48.0,0.0,49.83573228929743,0.0
2,56.0,0.0,56.42171133278681,0.0
3,67.0,0.0,68.00202683528647,0.0
4,79.0,0.0,79.47356645127097,0.0
5,82.0,0.0,83.66041064291112,0.0
6,85.0,0.0,85.13554972093873,0.0
7,92.0,0.0,94.26667492538454,0.0
8,99.0,0.0,99.15989140080195,0.0
9,110.0,0.0,111.56661679874138,0.0
10,112.0,0.0,112.77968135874809,0.0
11,116.0,0.0,117.2729377180137,0.0
12,123.0,0.0,124.25889539688231,0.0
13,126.0,0.0,126.01042791861916,0.0
14,136.0,0.0,136.50950095447172,0.0
15,138.0,0.0,138.99387518277203,0.0
16,140.0,0.0,140.36586865924266,0.0
17,143.0,0.0,143.567537173968,0.0
18,147.0,0.0,147.6326378526223,0.0
19,149.0,0.0,149.1714119280526,0.0
20,155.0,0.0,155.8398146337081,0.0
21,158.0,0.0,158.51128952491615,0.0
22,160.0,0.0,161.36273554656046,0.0
23,167.0,0.0,169.0619559080872,0.0
24,175.0,0.0,177.267238500401,0.0
25,183.0,0.0,184.95012111691528,0.0
26,187.0,0.0,187.1985532773961,0.0
27,206.0,0.0,208.3030996325406,0.0
28,218.0,0.0,218.09525204819855,0.0
29,221.0,0.0,221.244029303734,0.0
30,232.0,0.0,233.2730887852608,0.0
31,241.0,0.0,241.99905166059088,0.0
32,247.0,0.0,247.32408170196837,0.0
33,261.0,0.0,261.74248826291455,0.0
34,263.0,0.0,263.8372718086342,0.0
35,267.0,0.0,268.0064546740947,0.0
36,277.0,0.0,277.1030609164498,0.0
37,284.0,0.0,284.2160770724995,0.0
38,291.0,0.0,291.1420774211147,0.0
39,298.0,0.0,298.746747399587,0.0
40,301.0,0.0,301.00306224842484,0.0
41,305.0,0.0,306.71100011535776,0.0
42,307.0,0.0,307.2375377919757,0.0
43,312.0,0.0,312.1202144685874,0.0
44,319.0,0.0,319.4232839799747,0.0
45,327.0,0.0,329.5481807596328,0.0
46,334.0,0.0,334.50988581938753,0.0
47,336.0,0.0,337.90446011912394,0.0
48,339.0,0.0,341.3166162126738,0.0
49,343.0,0.0,344.74425166752076,0.0
50,348.0,0.0,348.80129073864754,0.0
51,354.0,0.0,354.38104172996583,0.0
52,357.0,0.0,357.5331819208721,0.0
53,362.0,0.0,362.00413408354206,0.0
54,364.0,0.0,364.2391260625372,0.0
55,366.0,0.0,367.31020588416544,0.0
56,368.0,0.0,368.9693060048454,0.0
57,377.0,0.0,377.3208275283546,0.0
58,386.0,0.0,386.81565243116705,0.0
59,392.0,0.0,392.7843134522352,0.0
60,398.0,0.0,398.22679135345436,0.0
61,404.0,0.0,404.54034485380913,0.0
62,411.0,0.0,411.6367955637593,0.0
63,420.0,0.0,420.1502219610956,0.0
64,429.0,0.0,429.1141772039359,0.0
65,432.0,0.0,432.4072473253879,0.0
66,434.0,0.0,434.6981999585522,0.0
67,455.0,0.0,455.7407081119822,0.0
68,459.0,0.0,461.41682324983947,0.0
69,468.0,0.0,468.51075252872437,0.0
70,474.0,0.0,475.32928206441306,0.0
71,476.0,0.0,476.9206285830826,0.0
72,482.0,0.0,482.0830305374727,0.0
73,489.0,0.0,490.42517947991513,0.0
74,492.0,0.0,493.1462641477434,0.0
75,496.0,0.0,497.07626203996506,0.0
76,501.0,0.0,506.8934851415779,0.0
77,510.0,0.0,510.91572355087027,0.0
78,513.0,0.0,513.1568987778828,0.0
79,516.0,0.0,517.4841668720003,0.0
80,526.0,0.0,526.6257611035464,0.0
81,546.0,0.0,547.3752452879937,0.0
82,549.0,0.0,549.6934791597573,0.0
83,552.0,0.0,552.0258898571329,0.0
84,556.0,0.0,556.4870974181346,0.0
85,559.0,0.0,560.3951492837374,0.0
86,566.0,0.0,568.3572986744394,0.0
87,570.0,0.0,570.976592482667,0.0
88,576.0,0.0,576.6273433383597,0.0
89,580.0,0.0,581.3350327893264,0.0
90,582.0,0.0,583.6296423664011,0.0
91,584.0,0.0,584.2498578654317,0.0
92,591.0,0.0,593.0366424855376,0.0
93,593.0,0.0,595.5568632952761,1.0
94,596.0,0.0,596.48276833632,0.0
95,603.0,0.0,603.6306649885298,0.0
96,605.0,0.0,605.771281076763,0.0
97,608.0,0.0,608.654450292318,0.0
98,611.0,0.0,612.2630189336556,0.0
99,620.0,0.0,621.370627809026,0.0
100,627.0,0.0,627.4512108748002,0.0
101,637.0,0.0,637.2586423611514,0.0
102,647.0,0.0,648.1424870881822,0.0
103,650.0,0.0,650.0414217724978,0.0
104,655.0,0.0,655.6712482917652,0.0
105,661.0,0.0,662.4151023125754,0.0
106,664.0,0.0,665.6735431102941,0.0
107,668.0,0.0,668.4031984076063,0.0
108,674.0,0.0,675.7821438970467,0.0
109,684.0,0.0,685.2409223662895,0.0
110,686.0,0.0,686.756391323778,0.0
111,689.0,0.0,690.2080285704985,0.0
112,702.0,0.0,703.1725679068775,0.0
113,705.0,0.0,705.0702032809783,0.0
114,714.0,0.0,715.5937830051679,0.0
115,728.0,0.0,728.0595131758026,0.0
116,734.0,0.0,737.1452556982049,0.0
117,737.0,0.0,738.966328357656,1.0
118,741.0,0.0,742.1364726571977,0.0
119,748.0,0.0,749.5381583711845,0.0
120,756.0,0.0,757.0835892494385,0.0
121,762.0,0.0,765.0720821112147,0.0
122,764.0,0.0,765.7302723683133,1.0
123,768.0,0.0,768.8571216349301,0.0
124,773.0,0.0,773.2640286961032,0.0
125,777.0,0.0,779.1727119693096,0.0
126,779.0,0.0,779.3486834718341,1.0
127,787.0,0.0,788.0004381049522,0.0
128,795.0,0.0,795.5109781283719,0.0
129,799.0,0.0,799.0518770212661,0.0
130,807.0,0.0,808.6644307206919,0.0
131,812.0,0.0,813.013902766382,0.0
132,822.0,0.0,822.5142738114895,0.0
133,824.0,0.0,825.5968424174854,0.0
134,837.0,0.0,837.0122969317116,0.0
135,845.0,0.0,846.7928839567653,0.0
136,852.0,0.0,853.8144887028649,0.0
137,863.0,0.0,863.0967771324424,0.0
138,869.0,0.0,871.2141011926832,0.0
139,877.0,0.0,877.3072231665353,0.0
140,881.0,0.0,881.0589430456888,0.0
141,890.0,0.0,890.582896274828,0.0
142,893.0,0.0,893.7282544445526,0.0
143,907.0,0.0,907.5480896217216,0.0
144,923.0,0.0,924.8856106198781,0.0
145,928.0,0.0,928.1018105283289,0.0
146,932.0,0.0,932.0136719361353,0.0
147,935.0,0.0,935.7017437842301,0.0
148,938.0,0.0,940.4469521180223,0.0
